question,option,answer
"Toys are cultural objects that children learn to play with in particular and culturally appropriate ways. Through participating in complex play, caregivers demonstrate traditional ways of object use. ___, when a mother models a telephone conversation during pretend play, she first dials the number, waits for a response, and only then begins to talk. If, while imitating the telephone conversation, the child forgets to dial the number, or mistakes the order of action, the mother may adjust the child¡¯s actions, thus teaching the correct way of play. Parent-child object play is also a medium through which children practice real¡©life scenarios (e.g. doctor-patient, mother-baby). Children¡¯s knowledge of cultural activities also contributes to the structure of parent-child play. When children play with familiar toys, they are more likely to facilitate pretend play, while parents serve as an audience. In contrast, when novel toys are used in the course of parent-child play, parents are more likely to start and organize the pretense. ","However, As a result, In fact, For example, In addition",For example
"Toys are cultural objects that children learn to play with in particular and culturally appropriate ways. Through participating in complex play, caregivers demonstrate traditional ways of object use. For example, when a mother models a telephone conversation during pretend play, she first dials the number, waits for a response, and only then begins to talk. If, while imitating the telephone conversation, the child forgets to dial the number, or mistakes the order of action, the mother may adjust the child¡¯s actions, thus teaching the correct way of play. Parent-child object play is also a medium through which children practice real¡©life scenarios (e.g. doctor-patient, mother-baby). Children¡¯s knowledge of cultural activities also contributes to the structure of parent-child play. When children play with familiar toys, they are more likely to facilitate pretend play, while parents serve as an audience. ___, when novel toys are used in the course of parent-child play, parents are more likely to start and organize the pretense. ","In contrast, In other words, Consequently, For example, In addition",In contrast
"It takes time for water to soften a sponge. When you are telling an employee, lawn service worker, your teenager, or anyone else, what it is that you want them to do, you may just have to repeat the order and instructions several times before the receiver really gets what it is you want done. That¡¯s not bad. That¡¯s normal communication lag. Be ___.When you are asking someone a question, in an effort to learn a fact that you feel is important for you to know, but they just don¡¯t seem to be willing to give you an answer, take it as a signal that you need to rephrase your question a little and repeat it again, and again, and again, until finally you are heard and answered.","patient, honest, critical, thankful, curious",patient
"History is a discipline. It is the art of ___. As historian John Tosh writes, ¡°All the resources of scholarship and all the historian¡¯s powers of imagination must be harnessed to the task of bringing the past to life ? or resurrecting it.¡± The past is messy, but historians make sense of the mess by collecting evidence, making meaning of it, and organizing it into some kind of discernible pattern. History is an exciting act of interpretation ? taking the facts of the past and weaving them into a compelling narrative. The historian works closely with the stuff that has been left behind ? documents, oral testimony, objects ? to make the past come alive. As John Arnold has noted, ¡°The sources do not ¡®speak for themselves¡¯ and never have done so.... They come alive when the historian reanimates them.¡± ","predicting the future, enlightening the youth, reconstructing the past, analyzing the present, improving humanity",reconstructing the past
"Costs vary not only with the volume of output, and to varying degrees from one industry to another, they also vary according to the extent to which existing ___ is being used. When an airplane with 200 seats is about to take off with 180 passengers on board, the cost of letting 20 standby passengers get on the flight is negligible. That is one reason for radically different prices being charged to people flying on the same plane. Some passengers bought guaranteed reservations and others essentially bought a chance of getting on board as standbys. Different levels of probability have different costs in airline tickets, as elsewhere. The passengers themselves also differ in how important it is for them to be at a particular place at a particular time. Those on urgent business may want a guaranteed reservation, even at a higher price, while others may be in a position where saving money is more important than being on one particular flight rather than another. ","capacity, property, equipment, technology, information",capacity
"Costs vary not only with the volume of output, and to varying degrees from one industry to another, they also vary according to the extent to which existing capacity is being used. When an airplane with 200 seats is about to take off with 180 passengers on board, the cost of letting 20 standby passengers get on the flight is negligible. That is one reason for radically different prices being charged to people flying on the same plane. Some passengers bought guaranteed reservations and others essentially bought a chance of getting on board as standbys. Different levels of probability have different costs in airline tickets, as elsewhere. The passengers themselves also differ in how important it is for them to be at a particular place at a particular time. Those on urgent business may want a guaranteed reservation, even at a higher price, while others may be in a position where ___ money is more important than being on one particular flight rather than another. ","saving, raising, investing, decreasing, increasing",saving 
"A snack with the label ¡°99% natural¡± seems more appealing than it would if labeled ¡°1% unnatural.¡± A frozen dinner labeled ¡°75% fat free¡± would sell better than it would with the label ¡°25% fat.¡± The less appealing labeling option is just as accurate as the more appealing option. It also makes us reflect more about what we might be eating. ___, bets sound less appealing when framed in terms of the chances of losing or the amount of money one might lose, rather than the chances of winning or the amount of money one would win. Medical procedures may sound scarier when presented in terms of the risk of dying, rather than the likelihood of coming through unharmed. Therefore, it is a useful exercise to recompute losses in terms of gains or gains in terms of losses. ","Similarly, Instead, However, But, Yet ",Similarly
"A snack with the label ¡°99% natural¡± seems more appealing than it would if labeled ¡°1% unnatural.¡± A frozen dinner labeled ¡°75% fat free¡± would sell better than it would with the label ¡°25% fat.¡± The less appealing labeling option is just as accurate as the more appealing option. It also makes us reflect more about what we might be eating. Similarly, bets sound less appealing when framed in terms of the chances of losing or the amount of money one might lose, rather than the chances of winning or the amount of money one would win. Medical procedures may sound scarier when presented in terms of the risk of dying, rather than the likelihood of coming through unharmed. ___, it is a useful exercise to recompute losses in terms of gains or gains in terms of losses. ","Therefore, Nevertheless, In addition, For example, In other words",Therefore
"The true champion recognizes that excellence often flows most smoothly from ___, a fact that can get lost in these high-tech days. I used to train with a world-class runner who was constantly hooking himself up to pulse meters and pace keepers. He spent hours collecting data that he thought would help him improve. In fact, a good 25 percent of his athletic time was devoted to externals other than working out. Sports became so complex for him that he forgot how to enjoy himself. Contrast his approach with that of the late Abebe Bikila, the Ethiopian who won the 1960 Olympic Marathon running barefoot. High-tech clothing and digital watches were not part of his world. Abebe Bikila simply ran. Many times in running, and in other areas of life, less is more. ","talent, patience, simplicity, generosity, confidence",simplicity
"Healthy living in individuals lays the foundation for healthy living throughout society and the world. For instance, healthy relationships depend upon healthy individuals sharing personally and working mutually to develop win¡©win agreements on how to grow and maintain the relationship. ___, healthy parenting depends upon healthy parents. Children learn the foundations of how the world works and how to develop their personal reality relative to the consciousness and behaviors of their parents. They model and subconsciously embrace much of their parents¡¯ behavior, so it becomes their own. Thus, the beliefs and behaviors of parents provide psychological and social information to the children that function almost like food does for the body; in this case, the information helps build their personal realities and shape their behaviors. Consequently, psychological, social, as well as the physical diets provided by parents must all be healthy or the children learn to repeat the unhealthy patterns of their parents.","Similarly, For example, However, In contrast, But ",Similarly
"Healthy living in individuals lays the foundation for healthy living throughout society and the world. For instance, healthy relationships depend upon healthy individuals sharing personally and working mutually to develop win¡©win agreements on how to grow and maintain the relationship. Similarly, healthy parenting depends upon healthy parents. Children learn the foundations of how the world works and how to develop their personal reality relative to the consciousness and behaviors of their parents. They model and subconsciously embrace much of their parents¡¯ behavior, so it becomes their own. Thus, the beliefs and behaviors of parents provide psychological and social information to the children that function almost like food does for the body; in this case, the information helps build their personal realities and shape their behaviors. ___, psychological, social, as well as the physical diets provided by parents must all be healthy or the children learn to repeat the unhealthy patterns of their parents.","On the contrary, Consequently, Otherwise, Similarly, For example",Consequently
"When there is a discrepancy between the verbal message and the nonverbal message, the latter typically weighs more in forming a judgment. ___, a friend might react to a plan for dinner with a comment like ¡°that¡¯s good,¡± but with little vocal enthusiasm and a muted facial expression. In spite of the verbal comment, the lack of expressive enthusiasm suggests that the plan isn¡¯t viewed very positively. In such a case, the purpose of the positive comment might be to avoid a disagreement and support the friend, but the lack of a positive expression unintentionally leaks a more candid, negative reaction to the plan. Of course, the muted expressive display might also be strategic and intentional. That is, the nonverbal message is deliberate, but designed to let the partner know one¡¯s candid reaction indirectly. It is then the partner¡¯s responsibility to interpret the nonverbal message and make some adjustment in the plan.","In addition, In contrast, For example, In other words, However",For example
"When there is a discrepancy between the verbal message and the nonverbal message, the latter typically weighs more in forming a judgment. For example, a friend might react to a plan for dinner with a comment like ¡°that¡¯s good,¡± but with little vocal enthusiasm and a muted facial expression. In spite of the verbal comment, the lack of expressive enthusiasm suggests that the plan isn¡¯t viewed very positively. In such a case, the purpose of the positive comment might be to avoid a disagreement and support the friend, but the lack of a positive expression unintentionally leaks a more candid, negative reaction to the plan. Of course, the muted expressive display might also be strategic and intentional. ___, the nonverbal message is deliberate, but designed to let the partner know one¡¯s candid reaction indirectly. It is then the partner¡¯s responsibility to interpret the nonverbal message and make some adjustment in the plan.","Instead, However, That is, But, So",That is
"In a penalty situation in soccer, the ball takes less than 0.3 seconds to travel from the player who kicks the ball to the goal. There is not enough time for the goalkeeper to watch the ball¡¯s trajectory. He must make a decision before the ball is kicked. Soccer players who take penalty kicks shoot one third of the time at the middle of the goal, one third of the time at the left, and one third of the time at the right. Surely goalkeepers have spotted this, but what do they do? They dive either to the left or to the right. Rarely do they stay standing in the middle¡ªeven though roughly a third of all balls land there. Why would they jeopardize saving these penalties? The simple answer: ___. It looks more impressive and feels less embarrassing to dive to the wrong side than to freeze on the spot and watch the ball sail past.","agility, appearance, indecision, accuracy, impatience",appearance
"If we can¡¯t have everything we want today, what do we do? We are forced to make choices. We must choose some goods and services and not others. Sometimes this kind of choosing can be visibly painful. Have you ever watched children in a toy store with a gift certificate in hand? It can take them all day before they make a choice. And instead of bubbling with excitement over the toy they bought, they usually appear frustrated over not being able to walk away with everything! Life is like that. ___ governs us. Because we cannot have everything all at once, we are forever forced to make choices. We can use our resources to satisfy only some of our wants, leaving many others unsatisfied. ","Scarcity, Morality, Knowledge, Reputation, Compassion",Scarcity
"Imagine that you are French. You are walking along a busy pavement in Paris and another pedestrian is approaching from the opposite direction. A collision will occur unless you each move out of the other¡¯s way. Which way do you step? The answer is almost certainly to the right. Replay the same scene in many parts of Asia, however, and you would probably move to the left. There is no instruction to head in a specific direction. Mehdi Moussaid says this is a behavior brought about by ___. If two opposing people guess each other¡¯s intentions correctly, each moving to one side and allowing the other past, then they are likely to choose to move the same way the next time they need to avoid a collision. The chance of a successful maneuver increases as more and more people adopt a bias in one direction, until the tendency sticks. Whether it¡¯s right or left does not matter; what does is that it is the unspoken will of the majority. ","probabilities, personalities, efficiencies , authorities, majorities  ",probabilities
"Imagine that you are French. You are walking along a busy pavement in Paris and another pedestrian is approaching from the opposite direction. A collision will occur unless you each move out of the other¡¯s way. Which way do you step? The answer is almost certainly to the right. Replay the same scene in many parts of Asia, however, and you would probably move to the left. There is no instruction to head in a specific direction. Mehdi Moussaid says this is a behavior brought about by probabilities. If two opposing people guess each other¡¯s intentions correctly, each moving to one side and allowing the other past, then they are likely to choose to move the same way the next time they need to avoid a collision. The chance of a successful maneuver increases as more and more people adopt a bias in one direction, until the tendency sticks. Whether it¡¯s right or left does not matter; what does is that it is the unspoken will of the ___. ","authority, majority, conscience, minority, efficiency, personality ",majority
"Even the best journalists can be tricked by lies into presenting misleading news. Sometimes the lies are unconscious. Informants can think they are telling the truth but are really fooling themselves. They may report seeing what they wanted to see. ___, they report seeing a policeman arresting a youth when he was, in fact, giving the youth directions. You must check the facts, both for your own sake and for the sake of your informants, who would not wish to appear foolish. Sometimes, however, the informant is deliberately trying to trick you for his or her own reasons. Perhaps it is to cover up a mistake, perhaps to avoid appearing ignorant, occasionally to give false information for more sinister reasons, such as creating ill¡©feeling between groups or tricking people into giving money. ","For example, Nevertheless, Furthermore, In fact, However",For example
"Even the best journalists can be tricked by lies into presenting misleading news. Sometimes the lies are unconscious. Informants can think they are telling the truth but are really fooling themselves. They may report seeing what they wanted to see. For example, they report seeing a policeman arresting a youth when he was, in fact, giving the youth directions. You must check the facts, both for your own sake and for the sake of your informants, who would not wish to appear foolish. Sometimes, ___, the informant is deliberately trying to trick you for his or her own reasons. Perhaps it is to cover up a mistake, perhaps to avoid appearing ignorant, occasionally to give false information for more sinister reasons, such as creating ill¡©feeling between groups or tricking people into giving money. ","however, as a result, similarity, in fact, by contrast",however
"For any product, the last step of the recycling process is selling the new product. Unfortunately, it can be hard to find markets for some types of recyclables. Plastic companies generally prefer new plastic, ___, because it is of more consistent quality than recycled plastic. The new plastic is guaranteed to be free of incompatible polymers ¡ª the chemical from which plastics are made ¡ª that sometimes are mixed in when the plastic is not sorted well before recycling. Manufacturers say it is also easier to control the color of plastics that have no recycled content. Similarly, paper manufacturers complain that recycled paper often gets dirty during collection and sorting. The added expense of cleaning the paper makes it too expensive to use for some purposes.","for instance, therefore, however, instead, in contrast",for instance
"For any product, the last step of the recycling process is selling the new product. Unfortunately, it can be hard to find markets for some types of recyclables. Plastic companies generally prefer new plastic, for instance, because it is of more consistent quality than recycled plastic. The new plastic is guaranteed to be free of incompatible polymers ¡ª the chemical from which plastics are made ¡ª that sometimes are mixed in when the plastic is not sorted well before recycling. Manufacturers say it is also easier to control the color of plastics that have no recycled content. ___, paper manufacturers complain that recycled paper often gets dirty during collection and sorting. The added expense of cleaning the paper makes it too expensive to use for some purposes.","Instead, Similarly, In contrast, Moreover, In short",Similarly
"Once a hand or gripper has been directed to an object by reaching, it can be grasped. Grasping requires that fingers hold an object securely. A secure grip is one in which the object won¡¯t slip or move, especially when displaced by an external force. Your grasp on a hammer, for example, would not be secure if knocking against something caused you to drop it. One precondition of a firm grasp is that the forces applied by the fingers balance each other so as not to disturb the object¡¯s position. The characteristics of an object such as its geometric configuration and mass distribution may demand that some fingers apply greater force than others to maintain ___. The grasp and support forces must also match overall object mass and fragility. An egg requires a more delicate touch than a rock. ","distance, efficiency, mobility, direction, stability",stability
"If you increase people¡¯s awareness of time ? by placing a big clock in front of them ? they do more stuff. Think about how much work you get done on the day before vacation. It makes sense that by getting more done, we¡¯d feel more in control. More than that, it¡¯s one of the great fantasies of time management: If you get more organized, you will get on top. However, that works only in a finite world. We haven¡¯t lived in that world for quite a while. In our infinite world, we will never be able to get on top of everything. When we complete more tasks, more take their place ? send more e¡©mails, get more replies. If we do more as a result of better managing our time, we just become ___. ","safer, wiser, busier, greedier, happier",busier
"Fundamental to most moral approaches is the idea that human life has a special dignity and value that is worth preserving even at the expense of self¡©interest. From this belief it follows, as Charles Beitz notes in his classic work Political Theory and International Relations, ¡°that there are occasions when we have reasons to disregard the demands of self¡©interest by taking a moral point of view towards human affairs.¡± This requires, says Beitz, that we regard the world and our actions in it from the standpoint of one person among many rather than as a particular person with particular interests. This position requires us to choose courses of action, policies, rules, and institutions on grounds that would be acceptable to any agent who was ___ among competing interests involved.","impartial,ambitious, renowned, selfish, imaginative ",impartial
"People who use visualization as a support for cancer treatment and other life¡©threatening illnesses have discovered the importance of ___. For example, after Carl¡¯s cancer diagnosis he began visualizing the cancer cells being killed by soldiers. It was only after work with his therapist that he realized this could not be effective for him as he had been a committed pacifist for a long time. His subconscious would not easily welcome a warlike image. He settled on using an image of the cancer cells being rescued from their path of destruction by angels and taken to a place of reeducation where they could become ¡°good¡± cells. It worked for him, and he is convinced that his belief in the principle and his consistency in practicing it positively supported his medical treatment and cure. ","focusing on symptoms, frequency of treatment, careful image selection, support from family members, using high¡©tech medical equipment",careful image selection
"A sleeping mother has the ability to identify the particular cry of her own baby. This is one of the bonding factors that has been forgotten because of the way in which we live today. Typically, there is now only one newborn baby in any family house or apartment, so there is no way to test this ability. In an ancient tribe, however, living in small huts in a tiny village settlement, a mother would have been able to hear any of the babies crying in the night. If she woke up every time one of them screamed for food, she might get no sleep at all. During the course of evolution she became programmed to awake only at the sound of her own particular baby. This ___ is still there to this day, even though it is seldom used.","affection, creativity, sociability, intolerance, sensitivity",sensitivity
"The dog¡¯s natural tendency to memorize landmarks can actually hinder training. Younger dogs are so good at learning locations that they often spontaneously memorize their surroundings as part of the set of cues that tells them to do something. ___, puppies taught the verbal command ¡°sit¡± in a training class may appear to have forgotten it as soon as they get home ¡ª because, in addition to the command, they have spontaneously memorized as the relevant cue some feature of the room where the class was held and, in different surroundings, do not recognize the command.Therefore, many dog trainers repeat a training exercise in a variety of places, in order to break such associations and isolate the intended cue, in this case, the verbal command alone.","For example, In constrast, In addition, Nevertheless, However",For example
"The dog¡¯s natural tendency to memorize landmarks can actually hinder training. Younger dogs are so good at learning locations that they often spontaneously memorize their surroundings as part of the set of cues that tells them to do something. For example, puppies taught the verbal command ¡°sit¡± in a training class may appear to have forgotten it as soon as they get home ¡ª because, in addition to the command, they have spontaneously memorized as the relevant cue some feature of the room where the class was held and, in different surroundings, do not recognize the command. ___, many dog trainers repeat a training exercise in a variety of places, in order to break such associations and isolate the intended cue, in this case, the verbal command alone.","Therefore, Similarly, Otherwise, So, However",Therefore
"When the navigation app on your smartphone is telling you the best route to the airport based on current traffic patterns, how does it know where the traffic is? Navigation systems are tracking your cell phone and the cell phones of thousands of other users of the applications to see how quickly those cell phones move through traffic. If you¡¯re stuck in a traffic jam, your cell phone reports the same GPS coordinates for several minutes; if traffic is moving swiftly, your cell phone moves as quickly as your car and these apps can recommend routes based on that. The quality of the overall system depends crucially on there being a large number of users. In this respect they¡¯re similar to telephones, fax machines, and e¡©mail: If only one or two people have them, they are not much good ¡ª their utility increases with ___.","inventors¡¯ ideas, the number of users, the design of devices, the cost of production, geographical conditions",the number of users
"___ is one of the keys to leadership effectiveness. We want realness in the executive suite, in the superintendent¡¯s office, and in our religious leaders. We yearn for leaders who are themselves rather than a copy of someone else. We want leaders who will be fully human with us, men and women who are vulnerable enough to acknowledge their strengths and weaknesses, their gifts and limits, and who are appropriately transparent about their hopes and fears, their motivations and their agendas. We trust leaders who are real, who walk their talk, who act on their core values, and who tell us the truth. We authorize others to lead who author their own life. Those we deem not trustworthy we don¡¯t authorize to lead.","Authenticity, Tolerance, Dedication, Compassion, Responsibility",Authenticity
"Recent research by Juliet Zhu and J. J. Argo suggests that making subtle changes to the seating arrangements in meetings can have an effect on what people choose to focus their attention on. For example, the study found that circular seating arrangements typically activated people¡¯s need to belong. As a result, they were more likely to focus on the group¡¯s collective objectives and be persuaded by messages and proposals that highlighted group benefits rather than benefits to any one individual. This effect was reversed, however, when the seating arrangement was either angular (think L¡©shaped) or square. These seating arrangements tended to activate people¡¯s need for ___. As a result, people were more responsive and reacted more favorably to messages and proposals that were self¡©oriented and that allowed them to elevate their individualism.","uniqueness, safety, certainty, harmony, fairness",uniqueness
"In an astonishing example of how nurturing can influence nature, there is considerable evidence confirming that how parents emotionally respond to their children can encourage or suppress genetic tendencies. Biology is not destiny, so gene expression is not necessarily inevitable. To produce their effects, genes must be turned on. ___, shyness is a trait that seems to be partially hereditary. If parents are overprotective of their shy young daughter, the toddler is likely to remain shy. However, if they encourage her to interact with other toddlers, she may overcome it. Thus, genetic tendencies toward intelligence, sociability, and aggression can be stimulated, controlled, or suppressed by parental response and other environmental influences.","For example, Nevertheless, Furthermore, In fact, As a result",For example
"In an astonishing example of how nurturing can influence nature, there is considerable evidence confirming that how parents emotionally respond to their children can encourage or suppress genetic tendencies. Biology is not destiny, so gene expression is not necessarily inevitable. To produce their effects, genes must be turned on. For example, shyness is a trait that seems to be partially hereditary. If parents are overprotective of their shy young daughter, the toddler is likely to remain shy. However, if they encourage her to interact with other toddlers, she may overcome it. ___, genetic tendencies toward intelligence, sociability, and aggression can be stimulated, controlled, or suppressed by parental response and other environmental influences.","Thus, However, Similarly, However, But",Thus
"In psychology, a ¡®model¡¯ of something should never be taken as an exact copy of the thing being described, but rather as a representation of it. A map of the London Underground, for example, is a representation of the Underground layout that helps us appreciate how it works and where it goes. Of course direction, scale, etc. must be distorted somewhat to make it all fit neatly on the page. A model of memory is also a representation. Based on the evidence available, a model provides us with an analogy of how memory works. Describing memory in terms of ¡®stores¡¯ or ¡®levels¡¯ or ¡®loops¡¯ makes our understanding more concrete, and simply conveys to a reader a(n) ___ of how a particular psychologist has attempted to understand and explain the available evidence. These models change as the available evidence changes, so should not be seen as permanent fixtures.","approximate idea, factual experience, invariable principle, digital representation, undisputed interpretation",approximate idea
"We tend not to notice how many creative tasks benefit from constraints because they are built¡¡in and have become invisible. For example, almost all popular music is in 4/4 time, four beats in the bar, with the emphasis usually landing on the first beat. Tracks are normally three or four minutes in length, contain a chorus, and so on. These are just a few constraints of many that popular music follows, and yet look at the variation that can be achieved. Many songs break these rules, but they often achieve their effects because there is a rule to break in the first place. Painters, writers, artists, and so on are all influenced by previous styles to various degrees and it¡¯s these previous styles that provide constraints. The very limitations we impose on ourselves can be ___. ","the inherent cultural beliefs, the resistance to taking risks, the seeds of our finest creations, the obstacles to our future success, the stepping stone for music education",the seeds of our finest creations
"For almost every location in the world, there is an ¡°optimal¡± temperature at which deaths are the lowest. On either side of this temperature ? both when it gets colder and warmer ? death rates increase. ___, what the optimal temperature is is a different issue. If you live in Helsinki, your optimal temperature is about 59¡ÆF, whereas in Athens you do best at 75¡ÆF. The important point to notice is that the best temperature is typically very similar to the average summer temperature.Thus, the actual temperature will only rarely go above the optimal temperature, but very often it will be below. In Helsinki, the optimal temperature is typically exceeded only 18 days per year, whereas it is below that temperature a full 312 days. Research shows that although 55 extra people die each year from it being too hot in Helsinki, some 1,655 people die from it being too cold. ","However, In addition, For instance, For example, Otherwise",However
"From a broad range of early cultures, extending back to about a million years, natural objects began to be used as tools and implements to supplement or enhance the capacities of the hand. ___, the hand is capable of clawing soil to dig out an edible root, but a digging stick or clam shell is also capable of being grasped to do the job more easily, in a sustainable manner, reducing damage to fingers and nails. The task is made easier still if a shell is tied with fiber at a right angle to the end of a stick, to make a simple hoe. It can then be used more effectively in wider circles from an erect working position. Similarly, the hand can be cupped in order to drink water, but a deep shell forms the same shape permanently and more effectively to function without leakage as a dipper. ","For example, In other words, in constrast, However, But",For example
"From a broad range of early cultures, extending back to about a million years, natural objects began to be used as tools and implements to supplement or enhance the capacities of the hand. For example, the hand is capable of clawing soil to dig out an edible root, but a digging stick or clam shell is also capable of being grasped to do the job more easily, in a sustainable manner, reducing damage to fingers and nails. The task is made easier still if a shell is tied with fiber at a right angle to the end of a stick, to make a simple hoe. It can then be used more effectively in wider circles from an erect working position. ___, the hand can be cupped in order to drink water, but a deep shell forms the same shape permanently and more effectively to function without leakage as a dipper. ","Similarly, As a result, However, Instead, In addition",Similarly
